location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,living_meters,kitchen_meters
Москва,sale,flat,5,7,3,74.9,41500000.0,Басманный, Земляной Вал,34С4,Курская,,-1,-1,-1
Москва,sale,flat,3,14,3,72.0,38000000.0,Раменки,проспект Генерала Дорохова,39к1В,Минская,Собрание клубных домов West Garden,2023,50 м²,10 м²
Москва,sale,flat,4,26,2,55.5,19288526.0,Соколиная гора,,,Соколиная гора,Семеновский Парк 2 ЖК,2025,"25,9 м²","21,8 м²"
Москва,sale,flat,3,14,2,106.9,160350000.0,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky,-1,-1,-1
Москва,sale,flat,6,9,2,60.0,18500000.0,, Ясеневая,1к1,Ольховая,Дубровка,2013,25 м²,25 м²
Москва,sale,flat,14,52,2,45.0,23611500.0,Хорошевский,3-й Хорошевский проезд,3А,,AMBER CITY,2028,"25,9 м²","5,7 м²"
Москва,sale,flat,9,14,3,102.0,133500000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы,2022,71 м²,15 м²
Москва,sale,flat,14,22,3,84.0,45000000.0,Свиблово,Сельскохозяйственная ,38к2,Ботанический сад,LIFE-Ботанический сад,2020,40 м²,11 м²
Москва,sale,flat,3,11,3,85.9,77617693.0,Даниловский,,,Павелецкая,Опус ЖК,2025,-1,-1
Москва,sale,flat,6,15,3,140.0,300000000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы,-1,-1,"18,5 м²"
Москва,sale,flat,2,21,3,66.59,14137723.0,Нижегородский,,,Калитники,Н'айс Лофт ЖК,2024,-1,-1
Москва,sale,flat,5,35,3,95.73,40514371.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК,2027,"61,6 м²","9,1 м²"
Москва,sale,flat,5,12,3,136.9,250000000.0,Хамовники, Усачева,13,Спортивная,Садовые кварталы,-1,-1,"20,6 м²"
Москва,sale,flat,9,14,3,127.9,95797100.0,Раменки, Сергея Бондарчука,2,Мичуринский проспект,Река,2026,"42,7 м²","35,3 м²"
Москва,sale,flat,1,5,3,65.1,17500000.0,Марьина роща,4-й Стрелецкий проезд,13,Савёловская,,-1,"36,6 м²","6,7 м²"
Москва,sale,flat,13,24,3,64.8,22900000.0,Донской,Новоданиловская набережная,8,Верхние котлы,Новоданиловская 8,2022,-1,20 м²
Москва,sale,flat,18,47,3,81.43,37261472.0,Хорошево-Мневники,,,Полежаевская,Джойс ЖК,2027,-1,-1
Москва,sale,flat,11,19,3,139.5,90000000.0,Хорошево-Мневники,Шелепихинская набережная,34к1,Шелепиха,,2019,80 м²,17 м²
Москва,sale,flat,7,20,4,178.0,77000000.0,Черемушки,Новочеремушкинская ,44К3,Профсоюзная,Адмирал,-1,-1,10 м²
Москва,sale,flat,3,4,4,211.6,202000000.0,Пресненский,Малый Кисловский переулок,7,Арбатская,,1885,-1,20 м²
Москва,sale,flat,18,47,3,81.43,37261472.0,Хорошево-Мневники,,,Полежаевская,Джойс ЖК,2027,-1,-1
Москва,sale,flat,3,7,2,62.0,53000000.0,Замоскворечье,Садовническая ,29.0,Новокузнецкая,BALCHUG RESIDENCE,2016,-1,10 м²
Москва,sale,flat,9,14,3,127.9,95797100.0,Раменки, Сергея Бондарчука,2.0,Мичуринский проспект,Река,2026,"42,7 м²","35,3 м²"
Москва,sale,flat,27,53,3,124.0,118000000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской,2011,86 м²,"17,3 м²"
Москва,sale,flat,12,22,4,160.0,94000000.0,Пресненский,Шмитовский проезд,16С2,Москва-Сити,Шмитовский 16,2007,-1,-1
Москва,sale,flat,10,29,3,83.5,36385292.0,Печатники,,,Нагатинский Затон,Портлэнд ЖК,2028,"37,1 м²",-1
Москва,sale,flat,5,7,3,74.9,41500000.0,Басманный, Земляной Вал,34С4,Курская,,-1,-1,-1
Москва,sale,flat,5,6,3,130.0,68000000.0,Крылатское,Крылатская ,45К2,Крылатское,Долина грез,2006,90 м²,20 м²
Москва,sale,flat,10,26,3,74.5,72000000.0,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES,2021,40 м²,10 м²
Москва,sale,flat,2,33,3,65.8,27682060.0,Сокольники, Матросская Тишина,1АС68,Сокольники,Sokolniki,2027,"40,2 м²",-1
Новая Москва,sale,flat,4,7,4,150.0,226130000.0,Пресненский,Хлыновский тупик,4,Арбатская,,2007,-1,-1
Новая Москва,sale,flat,9,15,4,85.0,28766805.0,Гольяново,Монтажная ,вл8/24,Щёлковская,1-й Измайловский,2026,"49,1 м²",9 м²
Новая Москва,sale,flat,5,8,4,75.0,59500000.0,Замоскворечье,переулок Старый Толмачевский,17с1,Новокузнецкая,,-1,60 м²,10 м²
Новая Москва,sale,flat,37,66,4,209.7,179293500.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS,2020,-1,-1
Новая Москва,sale,flat,7,17,3,70.0,27500000.0,Центральный, Чайковского,2Б,,,2011,42 м²,25 м²
Новая Москва,sale,flat,6,6,4,169.0,90000000.0,Пресненский,Мерзляковский переулок,13,Арбатская,,1902,-1,-1
Новая Москва,sale,flat,3,13,3,71.3,24567484.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского,2027,"47,6 м²",-1
Новая Москва,sale,flat,5,7,3,74.0,41500000.0,"Кв-ра ""под ключ"" в Басманном е3-комн. квартира",74 м²,5/7 этаж,,,1928,49 м²,7 м²
Новая Москва,sale,flat,6,23,4,146.5,55299000.0,Кунцево, Екатерины Будановой,5,Рабочий посёлок,Катрин-Хаус,-1,"81,5 м²","17,8 м²"
Новая Москва,sale,flat,2,9,3,121.84,41644912.0,Советский,,,Суконная слобода,Мифы ЖК,2026,"47,7 м²",12 м²
Новая Москва,sale,flat,7,25,3,99.0,66900000.0,Раменки, Янковского,1к1,Аминьевская,Событие,2021,36 м²,"29,5 м²"
Новая Москва,sale,flat,2,12,1,51.2,31300000.0,Сокол, Врубеля,4к1,Сокол,Врубеля 4,2022,33 м²,5 м²
Новая Москва,sale,flat,3,26,1,25.7,5100000.0,, Солнечная,2,Люберцы,Облака 2.0,2023,"12,9 м²","3,6 м²"
Новая Москва,sale,flat,3,18,1,37.0,6897000.0,Приволжский,,,Аметьево,Паркмаяк ЖК,2026,-1,-1
Новая Москва,sale,flat,12,14,1,31.0,10900000.0,Дагомыс пгт, Старошоссейная,5к2,,Каравелла Португалии,2020,-1,-1
